MUN_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Lledó","http://es.dbpedia.org/resource/Lledó"
"http://opendata.aragon.es/recurso/territorio/Municipio/Maicas","http://es.dbpedia.org/resource/Maicas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Manzanera","http://es.dbpedia.org/resource/Manzanera"
"http://opendata.aragon.es/recurso/territorio/Municipio/Mirambel","http://es.dbpedia.org/resource/Mirambel"
"http://opendata.aragon.es/recurso/territorio/Municipio/Mazaleón","http://es.dbpedia.org/resource/Mazaleón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Molinos","http://es.dbpedia.org/resource/Molinos"
"http://opendata.aragon.es/recurso/territorio/Municipio/Montalbán","http://es.dbpedia.org/resource/Montalbán"
"http://opendata.aragon.es/recurso/territorio/Municipio/Monroyo","http://es.dbpedia.org/resource/Monroyo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Moscardón","http://es.dbpedia.org/resource/Moscardón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Mosqueruela","http://es.dbpedia.org/resource/Mosqueruela"
"http://opendata.aragon.es/recurso/territorio/Municipio/Muniesa","http://es.dbpedia.org/resource/Muniesa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Nogueras","http://es.dbpedia.org/resource/Nogueras"
"http://opendata.aragon.es/recurso/territorio/Municipio/Monterde","http://es.dbpedia.org/resource/Monterde"
"http://opendata.aragon.es/recurso/territorio/Municipio/Obón","http://es.dbpedia.org/resource/Obón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Nogueruelas","http://es.dbpedia.org/resource/Nogueruelas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Odón","http://es.dbpedia.org/resource/Odón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Olba","http://es.dbpedia.org/resource/Olba"
"http://opendata.aragon.es/recurso/territorio/Municipio/Oliete","http://es.dbpedia.org/resource/Oliete"
"http://opendata.aragon.es/recurso/territorio/Municipio/Orrios","http://es.dbpedia.org/resource/Orrios"
"http://opendata.aragon.es/recurso/territorio/Municipio/Pancrudo","http://es.dbpedia.org/resource/Pancrudo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Peracense","http://es.dbpedia.org/resource/Peracense"
"http://opendata.aragon.es/recurso/territorio/Municipio/Peralejos","http://es.dbpedia.org/resource/Peralejos"
"http://opendata.aragon.es/recurso/territorio/Municipio/Pitarque","http://es.dbpedia.org/resource/Pitarque"
"http://opendata.aragon.es/recurso/territorio/Municipio/Plou","http://es.dbpedia.org/resource/Plou"
"http://opendata.aragon.es/recurso/territorio/Municipio/Pozondón","http://es.dbpedia.org/resource/Pozondón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ráfales","http://es.dbpedia.org/resource/Ráfales"
